Episode,Title
S1938E5,Jungle Jitters
S1938E6,What Price Porky
S1938E7,The Sneezing Weasel
S1938E8,Porky's Phoney Eress
S1938E9,A Star Is Hatched
S1938E10,Porky's Five & Ten
S1938E11,The Penguin Parade
S1938E12,Porky's Hare Hunt
S1938E13,Now That Summer Is Gone
S1938E14,Injun Trouble
S1938E15,The Isle of Pingo Pongo
S1938E16,Porky the Fireman
S1938E17,Katnip Kollege
S1938E18,Porky's Party
S1938E19,Have You Got Any Castles?
S1938E20,Love and Curses
S1938E21,Cinderella Meets Fella
S1938E22,Porky's Spring Planting
S1938E23,Porky & Daffy
S1938E24,The Major Lied 'Til Dawn
S1938E25,Wholly Smoke
S1938E26,A-Lad-In Bagdad
S1938E27,Cracked Ice
S1938E28,A Feud There Was
S1938E29,Porky in Wackyland
S1938E30,Little Pancho Vanilla
S1938E31,Porky's Naughty Nephew
S1938E32,Johnny Smith and Poker-Huntas
S1938E33,Porky in Egypt
S1938E34,You're an Education
S1938E35,The Night Watchman
S1938E36,The Daffy Doc
S1938E37,Daffy Duck in Hollywood
S1938E38,Porky the Gob
S1938E39,Count Me Out
S1938E40,The Mice Will Play
S1939E1,The Lone Stranger and Porky
S1939E2,Dog Gone Modern
S1939E3,It's an Ill Wind
S1939E4,Hamateur Night
S1939E5,Robin Hood Makes Good
S1939E6,Porky's Tire Trouble
S1939E7,Gold Rush Daze
S1939E8,A Day at the Zoo
S1939E9,Porky's Movie Mystery
S1939E10,Prest-O Change-O
S1939E11,Chicken Jitters
S1939E12,Bars and Stripes Forever
S1939E13,Daffy Duck and the Dinosaur
S1939E14,Porky and Teabiscuit
S1939E15,Thugs with Dirty Mugs
S1939E16,Kristopher Kolumbus Jr.
S1939E17,Naughty But Mice
S1939E18,Believe It or Else
S1939E19,Polar Pals
S1939E20,Hobo Gadget Band
S1939E21,Scalp Trouble
S1939E22,Old Glory
S1939E23,Porky's Picnic
S1939E24,Dangerous Dan McFoo
S1939E25,Snowman's Land
S1939E26,Wise Quacks
S1939E27,Hare-um Scare-um
S1939E28,Detouring America
S1939E29,Little Brother Rat
S1939E30,Porky's Hotel
S1939E31,SioEMe
S1939E32,Land of the Midnight Fun
S1939E33,Jeepers Creepers
S1939E34,Naughty Neighbors
S1939E35,The Little Lion Hunter
S1939E36,The Good Egg
S1939E37,Pied Piper Porky
S1939E38,Fresh Fish
S1939E39,Fagin's Freshman
S1939E40,Porky the Giant Killer
S1939E41,Sniffles and the Bookworm
S1939E42,Screwball Football
S1939E43,The Film Fan
S1939E44,The Curious Puppy
S1940E1,Porky's Last Stand
S1940E2,The Early Worm Gets the Bird
S1940E3,Africa Squeaks
S1940E4,Mighty Hunters
S1940E5,Busy Bakers
S1940E6,Ali-Baba Bound
S1940E7,Elmer's Candid Camera
S1940E8,Pilgrim Porky
S1940E9,Cross Country Detours
S1940E10,Confederate Honey
S1940E11,The Bear's Tale
S1940E12,Slap Happy Pappy
S1940E13,Porky's Poor Fish
S1940E14,The Hardship of Miles Standish
S1940E15,Sniffles Takes a Trip
S1940E16,You Ought to Be in Pictures
S1940E17,A Gander at Mother Goose
S1940E18,Tom Thumb in Trouble
S1940E19,The Chewin' Bruin
S1940E20,Circus Today
S1940E21,Little Blabbermouse
S1940E22,Porky's Baseball Broadcast
S1940E23,The Egg Collector
S1940E24,A Wild Hare
S1940E25,Ghost Wanted
S1940E26,Patient Porky
S1940E27,Ceiling Hero
S1940E28,Malibu Beach Party
S1940E29,Calling Dr. Porky
S1940E30,Stage Fright
S1940E31,Prehistoric Porky
S1940E32,Holiday Highlights
S1940E33,Good Night Elmer
S1940E34,The Sour Puss
S1940E35,Wacky Wildlife
S1940E36,Bedtime for Sniffles
S1940E37,Porky's Hired Hand
S1940E38,Of FEand Hounds
S1940E39,The Timid Toreador
S1940E40,Shop Look & Listen
S1941E1,Elmer's Pet Rabbit
S1941E2,Porky's Snooze Reel
S1941E3,The Fighting 69½th
S1941E4,Sniffles Bells the Cat
S1941E5,The Haunted Mouse
S1941E6,The Crackpot Quail
S1941E7,The Cat's Tale
S1941E8,Joe Glow, the Firefly
S1941E9,Tortoise Beats Hare
S1941E10,Porky's Bear Facts
S1941E11,Goofy Groceries
S1941E12,Toy Trouble
S1941E13,Porky's Preview
S1941E14,The Trial of Mr. Wolf
S1941E15,Porky's Ant
S1941E16,Farm Frolics
S1941E17,Hollywood Steps Out
S1941E18,A Coy Decoy
S1941E19,Hiawatha's Rabbit Hunt
S1941E20,Porky's Prize Pony
S1941E21,The Wacky Worm
S1941E22,Meet John Doughboy
S1941E23,The Heckling Hare
S1941E24,Inki and the Lion
S1941E25,Aviation Vacation
S1941E26,We, the Animals- Squeak!
S1941E27,Sport Chumpions
S1941E28,The Henpecked Duck
S1941E29,Snowtime for Comedy
S1941E30,All This and Rabbit Stew
S1941E31,Notes to You
S1941E32,The Brave Little Bat
S1941E33,The Bug Parade
S1941E34,Robinson Crusoe Jr.
S1941E35,Rookie Revue
S1941E36,Saddle Silly
S1941E37,Porky's Midnight Matinee
S1941E38,The Cagey Canary
S1941E39,Rhapsody in Rivets
S1941E40,Wabbit Twouble
S1941E41,Porky's Pooch
S1942E1,Hop Skip and a Chump
S1942E2,Porky's Pastry Pirates
S1942E3,The Bird Came C.O.D.
S1942E4,Aloha Hooey
S1942E5,Who's Who in the Zoo
S1942E6,Porky's Cafe
S1942E7,Conrad the Sailor
S1942E8,Crazy Cruise
S1942E9,The Wabbit Who Came to Supper
S1942E10,Saps in Chaps
S1942E11,Horton Hatches the Egg
S1942E12,Dog Tired
S1942E13,Daffy's Southern Eosure
S1942E14,The Wacky Wabbit
S1942E15,The Draft Horse
S1942E16,Lights Fantastic
S1942E17,Nutty News
S1942E18,Hold the Lion, Please
S1942E19,Hobby Horse-Laffs
S1942E20,Gopher Goofy
S1942E21,Double Chaser
S1942E22,Bugs Bunny Gets the Boid
S1942E23,Wacky Blackout
S1942E24,Foney Fables
S1942E25,The Ducktators
S1942E26,The Squawkin' Hawk
S1942E27,Fresh Hare
S1942E28,Eatin' on the Cuff or The Moth Who Came to Dinner
S1942E29,FEPop
S1942E30,The Impatient Patient
S1942E31,The Dover Boys at Pimento University or The Rivals of Roquefort Hall
S1942E32,The Hep Cat
S1942E33,The Sheepish Wolf
S1942E34,The Daffy Duckaroo
S1942E35,The Hare-Brained Hypnotist
S1942E36,A Tale of Two Kitties
S1942E37,Ding Dog Daddy
S1942E38,My Favorite Duck
S1942E39,Case of the Missing Hare
S1943E1,Coal Black and de Sebben Dwarfs
S1943E2,Confusions of a Nutzy Spy
S1943E3,Pigs in a Polka
S1943E4,Tortoise Wins by a Hare
S1943E5,To Duck or Not to Duck
S1943E6,The Fifth-Column Mouse
S1943E7,Flop Goes the Weasel
S1943E8,Hop and Go
S1943E9,Super-Rabbit
S1943E10,The Unbearable Bear
S1943E11,The Wise Quacking Duck
S1943E12,Greetings Bait
S1943E13,Tokio Jokio
S1943E14,Yankee Doodle Daffy
S1943E15,Jack-Wabbit and the Beanstalk
S1943E16,The Aristo-Cat
S1943E17,Wackiki Wabbit
S1943E18,Porky Pig's Feat
S1943E19,Tin Pan Alley Cats
S1943E20,Scrap Happy Daffy
S1943E21,Hiss and Make Up
S1943E22,A Corny Concerto
S1943E23,Fin'n Catty
S1943E24,Falling Hare
S1943E25,Inki and the Minah Bird
S1943E26,Daffy- The Commando
S1943E27,An Itch in Time
S1943E28,Puss N' Booty
S1944E1,Little Red Riding Rabbit
S1944E2,What's Cookin' Doc?
S1944E3,Meatless Flyday
S1944E4,Tom Turk and Daffy
S1944E5,Bugs Bunny and the Three Bears
S1944E6,I Got Plenty of Mutton
S1944E7,The Weakly Reporter
S1944E8,Tick Tock Tuckered
S1944E9,Bugs Bunny Nips the Nips
S1944E10,Swooner Crooner
S1944E11,Russian Rhapsody
S1944E12,Duck Soup to Nuts
S1944E13,Angel Puss
S1944E14,Slightly Daffy
S1944E15,Hare Ribbin'
S1944E16,Brother Brat
S1944E17,Hare Force
S1944E18,From Hand to Mouse
S1944E19,Birdy and the Beast
S1944E20,Buckaroo Bugs
S1944E21,Goldilocks and the Jivin' Bears
S1944E22,Plane Daffy
S1944E23,Lost and Foundling
S1944E24,Booby Hatched
S1944E25,The Old Grey Hare
S1944E26,The Stupid Cupid
S1944E27,Stage Door Cartoon
S1945E1,Odor-Able Kitty
S1945E2,Herr Meets Hare
S1945E3,Draftee Daffy
S1945E4,The Unruly Hare
S1945E5,Trap Happy Porky
S1945E6,Life with Feathers
S1945E7,Behind the Meat-Ball
S1945E8,Hare Trigger
S1945E9,Ain't That Ducky
S1945E10,A Gruesome Twosome
S1945E11,Tale of Two Mice
S1945E12,Wagon Heels
S1945E13,Hare Conditioned
S1945E14,Fresh Airedale
